key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,extensions,basisOfRecord,individualCount,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,lastInterpreted,references,license,identifiers,facts,relations,geodeticDatum,class,countryCode,country,rightsHolder,identifier,informationWithheld,nomenclaturalCode,municipality,datasetName,identificationVerificationStatus,gbifID,language,occurrenceID,type,taxonID,vernacularName,institutionCode,samplingProtocol,datasetID,accessRights,name,modified,county,catalogNumber,occurrenceStatus,taxonConceptID,eventTime,behavior,endDayOfYear,locality,collectionCode,recordedBy,originalNameUsage,startDayOfYear,occurrenceRemarks,higherClassification,X.b153643d.735a.440f.a0e9.428b4f9d1cd2.,lifeStage,identifiedBy,sex,dateIdentified,elevation,preparations,habitat,verbatimEventDate,dynamicProperties,locationRemarks,recordNumber,collectionID,coordinatePrecision,fieldNumber,associatedReferences,georeferenceVerificationStatus,georeferenceRemarks,otherCatalogNumbers,higherGeography,island,islandGroup,dataGeneralizations,institutionID,infraspecificEpithet,georeferencedBy,disposition,bibliographicCitation
2274201092,"Aedes albopictus Skuse, 1894",51.20412,5.57909,,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,9f25fd85-85dc-4dcd-a1b4-b31165442e2b,BE,DWC_ARCHIVE,2020-01-14T09:54:30.275+0000,2020-01-14T11:31:45.428+0000,116,none,HUMAN_OBSERVATION,1,1651430,1,54,216,811,3346,7924646,1651430,1651430,"Aedes albopictus Skuse, 1894",Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,Aedes,albopictus,SPECIES,ACCEPTED,60,EUROPE,Limburg,2019,6,30,2019-06-30T00:00:00,2020-01-14T11:31:45.428+0000,http://waarnemingen.be/waarneming/view/175451569,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Insecta,BE,Belgium,Natuurpunt Studie,Natuurpunt:Waarnemingen:175451569,see metadata,ICZN,Bocholt,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",unverified,2274201092,en,Natuurpunt:Waarnemingen:175451569,Event,http://waarnemingen.be/soort/view/208249,Tijgermug,Natuurpunt,casual observation,https://doi.org/10.15468/k2aiak,http://www.natuurpunt.be/normen-voor-datagebruik,"Aedes albopictus Skuse, 1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313530141,"Aedes albopictus Skuse, 1894",50.99535,5.36906,,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,9f25fd85-85dc-4dcd-a1b4-b31165442e2b,BE,DWC_ARCHIVE,2020-01-14T09:54:30.275+0000,2020-01-14T11:31:45.942+0000,116,none,HUMAN_OBSERVATION,1,1651430,1,54,216,811,3346,7924646,1651430,1651430,"Aedes albopictus Skuse, 1894",Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,Aedes,albopictus,SPECIES,ACCEPTED,5,EUROPE,Limburg,2019,6,17,2019-06-17T00:00:00,2020-01-14T11:31:45.942+0000,http://waarnemingen.be/waarneming/view/176045354,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Insecta,BE,Belgium,Natuurpunt Studie,Natuurpunt:Waarnemingen:176045354,see metadata,ICZN,Zonhoven,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",unverified,2313530141,en,Natuurpunt:Waarnemingen:176045354,Event,http://waarnemingen.be/soort/view/208249,Tijgermug,Natuurpunt,casual observation,https://doi.org/10.15468/k2aiak,http://www.natuurpunt.be/normen-voor-datagebruik,"Aedes albopictus Skuse, 1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2412887694,"Aedes albopictus Skuse, 1894",57.682397,11.900737,"cdround,gass84",38b4c89f-584c-41bb-bd8f-cd1def33e92f,b8323864-602a-4a7d-9127-bb903054e97d,4346b227-ca68-4d54-8a77-909148492e0b,SE,DWC_ARCHIVE,2020-02-09T03:46:04.755+0000,2020-02-09T08:42:56.166+0000,221,none,HUMAN_OBSERVATION,NA,1651430,1,54,216,811,3346,7924646,1651430,1651430,"Aedes albopictus Skuse, 1894",Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,Aedes,albopictus,SPECIES,ACCEPTED,50,EUROPE,NA,2019,9,8,2019-09-08T14:30:00,2020-02-09T08:42:56.166+0000,NA,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,WGS84,Insecta,SE,Sweden,Anders Martinsson,urn:lsid:artportalen.se:Sighting:79839618,More information can be obtained from the Data Provider.,NA,Göteborg,NA,Unvalidated,2412887694,Swedish,urn:lsid:artportalen.se:Sighting:79839618,Occurrence,urn:lsid:dyntaxa.se:Taxon:6010134,asiatisk tigermygga,ArtDatabanken,NA,urn:lsid:swedishlifewatch.se:DataProvider:1,Free usage,"Aedes albopictus Skuse, 1894",2019-09-09T20:18:50.000+0000,Västergötland,123596860,Present,urn:lsid:dyntaxa.se:Taxon:6010134,14:30:00 - 14:30:00,free-flying,251,Sjöbergen,Artportalen,Anders Martinsson,"Culex albopictus Skuse, 1894",251,Blev stucken av en mygga som hade svarta fläckar. Har inte sett en sådan tidigare och undrar vilken sort det är. Har tyvärr ingen bild. Fick ett tips på ett forum på FB att det kunde vara https://sv.wikipedia.org/wiki/Asiatisk_tigermygga. Dock är jag osäker på detta eftersom utbredningen endast skulle vara i södra Europa. På anmodan anmäler jag detta här och emotser förslag på vad det kan vara istället eller om det verkligen är en asiatisk tigermygga.,Biota;Animalia;Arthropoda;Hexapoda;Insecta;Diptera;Nematocera;Culicoidea;Culicidae;Culicinae;Aedini;Aedes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2549194474,"Aedes albopictus Skuse, 1894",51.03859,4.76243,,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,9f25fd85-85dc-4dcd-a1b4-b31165442e2b,BE,DWC_ARCHIVE,2020-01-14T09:54:30.275+0000,2020-01-14T11:31:48.545+0000,116,none,HUMAN_OBSERVATION,1,1651430,1,54,216,811,3346,7924646,1651430,1651430,"Aedes albopictus Skuse, 1894",Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,Aedes,albopictus,SPECIES,ACCEPTED,15,EUROPE,Antwerp,2019,12,21,2019-12-21T00:00:00,2020-01-14T11:31:48.545+0000,http://waarnemingen.be/waarneming/view/183306213,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Insecta,BE,Belgium,Natuurpunt Studie,Natuurpunt:Waarnemingen:183306213,see metadata,ICZN,Heist-op-den-Berg,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",unverified,2549194474,en,Natuurpunt:Waarnemingen:183306213,Event,http://waarnemingen.be/soort/view/208249,Tijgermug,Natuurpunt,casual observation,https://doi.org/10.15468/k2aiak,http://www.natuurpunt.be/normen-voor-datagebruik,"Aedes albopictus Skuse, 1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2270386495,"Aedes albopictus Skuse, 1894",50.36441,4.46684,,629befd5-fb45-4365-95c4-d07e72479b37,147d711e-8a02-4b67-b4ce-918abd7dbb76,c2f1d0d3-c5dc-4995-835d-d04e4ec46d6e,BE,DWC_ARCHIVE,2019-11-05T11:30:17.167+0000,2019-11-13T15:12:59.867+0000,15,none,HUMAN_OBSERVATION,1,1651430,1,54,216,811,3346,7924646,1651430,1651430,"Aedes albopictus Skuse, 1894",Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,Aedes,albopictus,SPECIES,ACCEPTED,10,EUROPE,Hainaut,2017,8,7,2017-08-07T00:00:00,2019-11-13T15:12:59.867+0000,https://observations.be/waarneming/view/142563896,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,WGS84,Insecta,BE,Belgium,Natagora,Natagora:Observations:142563896,see metadata,ICZN,Gerpinnes,"Observations.be - Non-native species occurrences in Wallonia, Belgium",unverified,2270386495,en,Natagora:Observations:142563896,Event,http://observations.be/soort/view/208249,Moustique tigre,Natagora,casual observation,https://doi.org/10.15468/p58ip1,https://www.natagora.be/donnees_naturalistes_usage,"Aedes albopictus Skuse, 1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b153643d-735a-440f-a0e9-428b4f9d1cd2,ADULT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1501738620,"Aedes albopictus Skuse, 1894",38.95,-0.16,gass84,95e635d4-f762-11e1-a439-00145eb45e9a,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6,ES,DWC_ARCHIVE,2019-11-08T07:05:07.565+0000,2019-11-13T23:42:51.208+0000,81,none,HUMAN_OBSERVATION,NA,1651430,1,54,216,811,3346,7924646,1651430,1651430,"Aedes albopictus Skuse, 1894",Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,Aedes,albopictus,SPECIES,ACCEPTED,707,EUROPE,Valencia,2016,4,23,2016-04-23T00:00:00,2019-11-13T23:42:51.208+0000,NA,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Insecta,ES,Spain,NA,BDBCV:BDBCV-General:1886933,NA,NA,BELLREGUART,NA,NA,1501738620,Es,BDBCV:BDBCV-General:1886933,NA,NA,NA,BDBCV,NA,NA,NA,"Aedes albopictus Skuse, 1894",NA,NA,1886933,NA,NA,NA,NA,NA,NA,BDBCV-General,S. Montagud Alario,NA,NA,NA,NA,NA,NA,S. Montagud Alario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1501639234,"Aedes albopictus Skuse, 1894",39.42,-0.41,gass84,95e635d4-f762-11e1-a439-00145eb45e9a,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6,ES,DWC_ARCHIVE,2019-11-08T07:05:07.565+0000,2019-11-13T23:43:10.781+0000,81,none,HUMAN_OBSERVATION,NA,1651430,1,54,216,811,3346,7924646,1651430,1651430,"Aedes albopictus Skuse, 1894",Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,Aedes,albopictus,SPECIES,ACCEPTED,707,EUROPE,Valencia,2015,8,12,2015-08-12T00:00:00,2019-11-13T23:43:10.781+0000,NA,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Insecta,ES,Spain,NA,BDBCV:BDBCV-General:1781739,NA,NA,PAIPORTA,NA,NA,1501639234,Es,BDBCV:BDBCV-General:1781739,NA,NA,NA,BDBCV,NA,NA,NA,"Aedes albopictus Skuse, 1894",NA,NA,1781739,NA,NA,NA,NA,NA,LÂ´Horta,BDBCV-General,S. Fos MartÃ­n,NA,NA,NA,NA,NA,NA,S. Fos MartÃ­n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1501738607,"Aedes albopictus Skuse, 1894",39.7,-0.31,gass84,95e635d4-f762-11e1-a439-00145eb45e9a,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6,ES,DWC_ARCHIVE,2019-11-08T07:05:07.565+0000,2019-11-13T23:43:02.826+0000,81,none,UNKNOWN,NA,1651430,1,54,216,811,3346,7924646,1651430,1651430,"Aedes albopictus Skuse, 1894",Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,Aedes,albopictus,SPECIES,ACCEPTED,707,EUROPE,Valencia,2015,8,NA,2015-08-01T00:00:00,2019-11-13T23:43:02.826+0000,NA,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Insecta,ES,Spain,NA,BDBCV:BDBCV-General:1886938,NA,NA,SAGUNT,NA,NA,1501738607,Es,BDBCV:BDBCV-General:1886938,NA,NA,NA,BDBCV,NA,NA,NA,"Aedes albopictus Skuse, 1894",NA,NA,1886938,NA,NA,NA,NA,NA,La Muntanya,BDBCV-General,M. J. PicÃ³ | S. Montagud Alario,NA,NA,NA,NA,NA,NA,M. J. PicÃ³ | S. Montagud Alario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1501739285,"Aedes albopictus Skuse, 1894",38.24,-0.51,gass84,95e635d4-f762-11e1-a439-00145eb45e9a,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6,ES,DWC_ARCHIVE,2019-11-08T07:05:07.565+0000,2019-11-13T23:42:50.973+0000,81,none,HUMAN_OBSERVATION,NA,1651430,1,54,216,811,3346,7924646,1651430,1651430,"Aedes albopictus Skuse, 1894",Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,Aedes,albopictus,SPECIES,ACCEPTED,707,EUROPE,Alicante,2015,8,28,2015-08-28T00:00:00,2019-11-13T23:42:50.973+0000,NA,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Insecta,ES,Spain,NA,BDBCV:BDBCV-General:1887642,NA,NA,ELX,NA,NA,1501739285,Es,BDBCV:BDBCV-General:1887642,NA,NA,NA,BDBCV,NA,NA,NA,"Aedes albopictus Skuse, 1894",NA,NA,1887642,NA,NA,NA,NA,NA,Clot de Galvany,BDBCV-General,S.C.E.A. Clot de Galvany,NA,NA,NA,NA,NA,NA,S.C.E.A. Clot de Galvany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1501738598,"Aedes albopictus Skuse, 1894",39.53,-0.49,gass84,95e635d4-f762-11e1-a439-00145eb45e9a,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6,ES,DWC_ARCHIVE,2019-11-08T07:05:07.565+0000,2019-11-13T23:43:01.859+0000,81,none,HUMAN_OBSERVATION,NA,1651430,1,54,216,811,3346,7924646,1651430,1651430,"Aedes albopictus Skuse, 1894",Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,Aedes,albopictus,SPECIES,ACCEPTED,707,EUROPE,Valencia,2015,9,20,2015-09-20T00:00:00,2019-11-13T23:43:01.859+0000,NA,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Insecta,ES,Spain,NA,BDBCV:BDBCV-General:1886935,NA,NA,PATERNA,NA,NA,1501738598,Es,BDBCV:BDBCV-General:1886935,NA,NA,NA,BDBCV,NA,NA,NA,"Aedes albopictus Skuse, 1894",NA,NA,1886935,NA,NA,NA,NA,NA,NA,BDBCV-General,S. Montagud Alario,NA,NA,NA,NA,NA,NA,S. Montagud Alario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
